Table,Unit,Variety,Year,Attribute,Value
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,Indiana,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,Iowa,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,Kansas,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,Michigan,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,Minnesota,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,Missouri,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,Nebraska,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,North Dakota,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,Ohio,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,South Dakota,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,Texas,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,Wisconsin,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,Other States,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,U.S.,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,Illinois,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,Indiana,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,Iowa,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,Kansas,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,Michigan,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,Minnesota,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,Missouri,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,Nebraska,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,North Dakota,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,Ohio,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,South Dakota,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,Texas,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,Wisconsin,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,Other States,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2016,U.S.,3
